Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID	ce_id	timid	timespan
Retired Army General Lloyd Austin	040	Consult or meet	Senior officers	ac06a4f738e133aaa1aad5ff38f70d95	[1:0:3]	1281	10	0	48
The United States	072	Provide military aid	Iraqi Forces	ac06a4f738e133aaa1aad5ff38f70d95	[2:4:8]	2281	10	0	48
Germany	072	Provide military aid	Kurdish	ac06a4f738e133aaa1aad5ff38f70d95	[3:9:14]	2282	10	0	48
Pentagon	014	Consider policy option	Islamic State	8fb23013c86e5b5d95c4032d13e99222	[1:0:1]	3884	10	1	48
Pentagon	014	Consider policy option	City	8fb23013c86e5b5d95c4032d13e99222	[2:2:5]	3886	10	1	48
Pentagon	013	Make optimistic comment	Islamic State	8fb23013c86e5b5d95c4032d13e99222	[3:6:8]	3887	10	1	48
Pentagon	154	Mobilize or increase armed forces	City	8fb23013c86e5b5d95c4032d13e99222	[1:0:1]	8306	10	1	48
Haider al-Abadi	062	Cooperate militarily	Popular Mobilisation Committee	a5bdb00ab6195207e17bbaef3fa4827f	[2:5:6]	1084	10	5	48
Abu Mahdi al-Mohandis	062	Cooperate militarily	Qassem Soleimani	a5bdb00ab6195207e17bbaef3fa4827f	[4:10:15]	1085	10	5	48
Iranian General Hamid Taghavi	062	Cooperate militarily	Saraya al-Khorasani	a5bdb00ab6195207e17bbaef3fa4827f	[10:32:34]	1092	10	5	48
Saraya al-Khorasani	062	Cooperate militarily	Majlis	a5bdb00ab6195207e17bbaef3fa4827f	[13:40:44]	1096	10	5	48
Popular Mobilisation Committee	1384	Threaten to use conventional attack	Battalion Commanders	a5bdb00ab6195207e17bbaef3fa4827f	[6:19:21]	2142	10	5	48
Qassem Soleimani	045	Engage in mediation	Popular Mobilisation Committee	a5bdb00ab6195207e17bbaef3fa4827f	[6:19:21]	2143	10	5	48
Ayatollah Ali Khamenei	111	Criticize or denounce	Islamic State	a5bdb00ab6195207e17bbaef3fa4827f	[3:7:9]	6606	10	5	48
Ayatollah Ali Khamenei	012	Make pessimistic comment	Majlis	ef7b42b3c1ee7bd0ce40b802152f114b	[1:0:7]	2751	10	6	48
Hadi al-Amiri	030	Express intent to cooperate	Ayatollah Ali Khamenei	ef7b42b3c1ee7bd0ce40b802152f114b	[1:0:7]	4835	10	6	48
Abu Mahdi al-Mohandis	193	Fight with small arms and light weapons	American and French embassies in Kuwait	defeb96e722b664f163533950122a02b	[1:0:0]	5407	10	7	48
United States State Department	1044	Demand change in institutions, regime	Qassem Soleimani	defeb96e722b664f163533950122a02b	[1:0:0]	5998	10	7	48
Chechen Islamic State militants	182	Physically assault	Artifacts in Syria	d14f9bbf0887c6f562d5ae4a51233e8d	[4:11:12]	7895	10	7	48
Badr Corps	1224	Reject request for military protection or peacekeeping	US Forces	defeb96e722b664f163533950122a02b	[2:1:2]	7930	10	7	48
Haidar al-Abardi	072	Provide military aid	Sunnis who had joined the Islamic State	cc929b2c8a7a45cb4c08692e1f8aadd3	[3:8:9]	2708	10	11	48
Pentagon	011	Refuse to comment	Tikrit	cc929b2c8a7a45cb4c08692e1f8aadd3	[1:0:4]	4678	10	11	48
Shi'ite and Kurdish militia members	062	Cooperate militarily	Iraqi Forces	730a3214b49ba6a8eef31b5cf3cd77fb	[2:5:8]	548	10	12	48
Iran General	062	Cooperate militarily	Iraqi Forces	3d41f4ab725f0e34afa9186a9ceba83d	[0:0:0]	589	10	12	48
Gen. Ghasem Soleimani	1211	Reject economic cooperation	Islamic State	3d41f4ab725f0e34afa9186a9ceba83d	[1:0:1]	590	10	12	48
Iranian general Ghasem Soleimani	062	Cooperate militarily	Operation	278da7967a179193e754b3565119bdd4	[6:11:13]	973	10	12	48
Major General Qasem Soleimani	042	Make a visit	Haider al-Abadi	730a3214b49ba6a8eef31b5cf3cd77fb	[2:5:8]	1693	10	12	48
Gen. Ghasem Soleimani	042	Make a visit	Iraqi Shiite paramilitary leaders	3d41f4ab725f0e34afa9186a9ceba83d	[1:0:1]	1727	10	12	48
Tehran	072	Provide military aid	Tikrit	730a3214b49ba6a8eef31b5cf3cd77fb	[3:9:12]	2481	10	12	48
Sunni tribes	030	Express intent to cooperate	Iraqi forces and Shiite fighters	278da7967a179193e754b3565119bdd4	[9:19:20]	5256	10	12	48
